what,kind,bundleId,bundleVersion,description,time
java.specification.version,sysinfo,,,"1.7",1376619536806
java.vendor,sysinfo,,,"Oracle Corporation",1376619536806
java.version,sysinfo,,,"1.7.0_25",1376619536806
java.vm.info,sysinfo,,,"mixed mode",1376619536806
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1376619536806
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1376619536806
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1376619536806
java.vm.specification.version,sysinfo,,,"1.7",1376619536806
java.vm.vendor,sysinfo,,,"Oracle Corporation",1376619536806
java.vm.version,sysinfo,,,"23.25-b01",1376619536806
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1376619539650
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1376619539652
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1376619539679
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1376619539754
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1376619540642
started,bundle,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.adt",1376619545041
started,bundle,org.eclipse.mylyn.team.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.team.ui",1376619545644
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1376619545799
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1376619545836
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1376619582111
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1376619582160
closed,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1376619582186
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376619584247
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376619680430
