what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377575652617
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377575665836
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1377575665851
started,bundle,org.eclipse.pde.core,3.7.1.v20120103_r372,"org.eclipse.pde.core",1377575666316
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1377575667207
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377575675583
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377575684299
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377575689932
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377575703919
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1377575703987
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.AllMarkersView",1377575707829
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1377575718151
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1377575721508
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377575725539
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377575759079
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1377575759157
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377575759811
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377575761063
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377575763876
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377575768514
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1377575773095
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1377575778114
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1377575778228
